1c. LEA ID,awarded_q,awarded_method,applied_q,applied_method,interest_q,interest_method,order_q,delivered_q,operating_q,award_to_order_q,order_to_delivered_q,delivered_to_operating_q,award_to_operating_q
102370,,unknown,2020Q2,program_calendar,2020Q1,from_applied_minus_1q,,,,,,,
102400,,unknown,2021Q2,program_calendar,2021Q1,from_applied_minus_1q,,,,,,,
400450,2023Q4,exact,2023Q2,backcast_award_minus_2q,2023Q1,from_applied_minus_1q,nanQnan,nanQnan,nanQnan,,,,
102480,,unknown,,unknown,,unknown,,,,,,,
102490,,unknown,,unknown,,unknown,,,,,,,
102520,,unknown,,unknown,,unknown,,,,,,,
102550,,unknown,,unknown,,unknown,,,,,,,
102580,,unknown,,unknown,,unknown,,,,,,,
102610,,unknown,,unknown,,unknown,,,,,,,
102635,,unknown,,unknown,,unknown,,,,,,,
102640,,unknown,,unknown,,unknown,,,,,,,
102650,,unknown,,unknown,,unknown,,,,,,,
102670,,unknown,,unknown,,unknown,,,,,,,
102700,,unknown,,unknown,,unknown,,,,,,,
102730,,unknown,,unknown,,unknown,,,,,,,
102760,,unknown,,unknown,,unknown,,,,,,,
102790,,unknown,,unknown,,unknown,,,,,,,
102820,,unknown,,unknown,,unknown,,,,,,,
102850,,unknown,,unknown,,unknown,,,,,,,
102880,,unknown,,unknown,,unknown,,,,,,,
102910,,unknown,,unknown,,unknown,,,,,,,
102940,,unknown,,unknown,,unknown,,,,,,,
1903220,2024Q2,exact,2023Q4,backcast_award_minus_2q,2023Q3,from_applied_minus_1q,nanQnan,nanQnan,nanQnan,,,,
103000,,unknown,,unknown,,unknown,,,,,,,
103030,,unknown,,unknown,,unknown,,,,,,,
103062,,unknown,,unknown,,unknown,,,,,,,
103090,,unknown,,unknown,,unknown,,,,,,,
103120,,unknown,,unknown,,unknown,,,,,,,
103150,,unknown,,unknown,,unknown,,,,,,,
103180,,unknown,,unknown,,unknown,,,,,,,
103210,,unknown,,unknown,,unknown,,,,,,,
103240,,unknown,,unknown,,unknown,,,,,,,
103270,,unknown,,unknown,,unknown,,,,,,,
103300,,unknown,,unknown,,unknown,,,,,,,
103330,,unknown,,unknown,,unknown,,,,,,,
103360,,unknown,,unknown,,unknown,,,,,,,
103390,,unknown,,unknown,,unknown,,,,,,,
601770,2023Q4,exact,2023Q2,backcast_award_minus_2q,2023Q1,from_applied_minus_1q,nanQnan,nanQnan,nanQnan,,,,
103430,,unknown,,unknown,,unknown,,,,,,,
103450,,unknown,,unknown,,unknown,,,,,,,
103480,,unknown,,unknown,,unknown,,,,,,,
103510,,unknown,,unknown,,unknown,,,,,,,
103540,,unknown,,unknown,,unknown,,,,,,,
103580,,unknown,2020Q2,program_calendar,2020Q1,from_applied_minus_1q,,,,,,,
103581,,unknown,,unknown,,unknown,,,,,,,
103582,,unknown,,unknown,,unknown,,,,,,,
103583,,unknown,,unknown,,unknown,,,,,,,
103584,,unknown,,unknown,,unknown,,,,,,,
200001,,unknown,,unknown,,unknown,,,,,,,
200003,,unknown,,unknown,,unknown,,,,,,,
200004,,unknown,,unknown,,unknown,,,,,,,
200005,,unknown,,unknown,,unknown,,,,,,,
200006,,unknown,,unknown,,unknown,,,,,,,
200007,,unknown,,unknown,,unknown,,,,,,,
200010,,unknown,,unknown,,unknown,,,,,,,
200020,,unknown,,unknown,,unknown,,,,,,,
200030,,unknown,,unknown,,unknown,,,,,,,
200050,2019Q1,exact,2018Q3,backcast_award_minus_2q,2018Q2,from_applied_minus_1q,2019Q4,2020Q4,2020Q4,3.0,4.0,0.0,7.0
200060,,unknown,,unknown,,unknown,,,,,,,
200070,,unknown,,unknown,,unknown,,,,,,,
200090,,unknown,,unknown,,unknown,,,,,,,
200100,,unknown,,unknown,,unknown,,,,,,,
200120,,unknown,,unknown,,unknown,,,,,,,
200130,,unknown,,unknown,,unknown,,,,,,,
200150,,unknown,,unknown,,unknown,,,,,,,
200180,,unknown,,unknown,,unknown,,,,,,,
200210,,unknown,,unknown,,unknown,,,,,,,
200240,,unknown,,unknown,,unknown,,,,,,,
200270,,unknown,,unknown,,unknown,,,,,,,
200300,,unknown,,unknown,,unknown,,,,,,,
200330,,unknown,,unknown,,unknown,,,,,,,
200360,,unknown,,unknown,,unknown,,,,,,,
200390,,unknown,,unknown,,unknown,,,,,,,
200450,,unknown,,unknown,,unknown,,,,,,,
200480,,unknown,,unknown,,unknown,,,,,,,
200485,,unknown,,unknown,,unknown,,,,,,,
200510,,unknown,,unknown,,unknown,,,,,,,
200520,,unknown,,unknown,,unknown,,,,,,,
200525,,unknown,,unknown,,unknown,,,,,,,
200540,,unknown,,unknown,,unknown,,,,,,,
200570,,unknown,,unknown,,unknown,,,,,,,
200600,,unknown,,unknown,,unknown,,,,,,,
200610,,unknown,,unknown,,unknown,,,,,,,
200625,,unknown,,unknown,,unknown,,,,,,,
200630,,unknown,,unknown,,unknown,,,,,,,
200660,,unknown,,unknown,,unknown,,,,,,,
200670,,unknown,,unknown,,unknown,,,,,,,
200680,,unknown,,unknown,,unknown,,,,,,,
200690,,unknown,,unknown,,unknown,,,,,,,
200700,,unknown,,unknown,,unknown,,,,,,,
200710,,unknown,,unknown,,unknown,,,,,,,
200715,,unknown,,unknown,,unknown,,,,,,,
200720,,unknown,,unknown,,unknown,,,,,,,
200730,,unknown,,unknown,,unknown,,,,,,,
200760,,unknown,,unknown,,unknown,,,,,,,
200770,,unknown,,unknown,,unknown,,,,,,,
200775,,unknown,,unknown,,unknown,,,,,,,
200780,,unknown,,unknown,,unknown,,,,,,,
200800,,unknown,,unknown,,unknown,,,,,,,
5100090,2021Q3,exact,2021Q1,backcast_award_minus_2q,2020Q4,from_applied_minus_1q,2022Q2,2023Q1,2023Q2,3.0,3.0,1.0,7.0
200840,,unknown,,unknown,,unknown,,,,,,,
200862,,unknown,,unknown,,unknown,,,,,,,
1900031,2022Q4,exact,2022Q2,backcast_award_minus_2q,2022Q1,from_applied_minus_1q,nanQnan,2023Q2,2023Q2,,,0.0,2.0
400001,,unknown,,unknown,,unknown,,,,,,,
400003,,unknown,,unknown,,unknown,,,,,,,
3001860,2024Q2,exact,2023Q4,backcast_award_minus_2q,2023Q3,from_applied_minus_1q,nanQnan,nanQnan,nanQnan,,,,
400005,,unknown,,unknown,,unknown,,,,,,,
400016,,unknown,,unknown,,unknown,,,,,,,
400018,,unknown,,unknown,,unknown,,,,,,,
400019,,unknown,,unknown,,unknown,,,,,,,
400020,,unknown,,unknown,,unknown,,,,,,,
400021,,unknown,,unknown,,unknown,,,,,,,
400022,,unknown,,unknown,,unknown,,,,,,,
400023,,unknown,,unknown,,unknown,,,,,,,
400026,,unknown,,unknown,,unknown,,,,,,,
400028,,unknown,,unknown,,unknown,,,,,,,
400031,,unknown,,unknown,,unknown,,,,,,,
400033,,unknown,,unknown,,unknown,,,,,,,
400034,,unknown,,unknown,,unknown,,,,,,,
400037,,unknown,,unknown,,unknown,,,,,,,
400040,,unknown,,unknown,,unknown,,,,,,,
400041,,unknown,,unknown,,unknown,,,,,,,
400043,,unknown,,unknown,,unknown,,,,,,,
400047,,unknown,,unknown,,unknown,,,,,,,
400052,,unknown,,unknown,,unknown,,,,,,,
400053,,unknown,,unknown,,unknown,,,,,,,
400054,,unknown,,unknown,,unknown,,,,,,,
400056,,unknown,,unknown,,unknown,,,,,,,
400057,,unknown,,unknown,,unknown,,,,,,,
400061,,unknown,,unknown,,unknown,,,,,,,
400065,,unknown,,unknown,,unknown,,,,,,,
400068,,unknown,,unknown,,unknown,,,,,,,
400069,,unknown,,unknown,,unknown,,,,,,,
400070,,unknown,,unknown,,unknown,,,,,,,
400071,,unknown,,unknown,,unknown,,,,,,,
400072,,unknown,,unknown,,unknown,,,,,,,
400074,,unknown,,unknown,,unknown,,,,,,,
400075,,unknown,,unknown,,unknown,,,,,,,
400077,,unknown,,unknown,,unknown,,,,,,,
400078,,unknown,,unknown,,unknown,,,,,,,
400079,,unknown,,unknown,,unknown,,,,,,,
400081,,unknown,,unknown,,unknown,,,,,,,
400082,,unknown,,unknown,,unknown,,,,,,,
400083,,unknown,,unknown,,unknown,,,,,,,
400089,,unknown,,unknown,,unknown,,,,,,,
400090,,unknown,,unknown,,unknown,,,,,,,
400092,,unknown,,unknown,,unknown,,,,,,,
400093,,unknown,,unknown,,unknown,,,,,,,
400095,,unknown,,unknown,,unknown,,,,,,,
400096,,unknown,,unknown,,unknown,,,,,,,
400097,,unknown,,unknown,,unknown,,,,,,,
400098,,unknown,,unknown,,unknown,,,,,,,
400099,,unknown,,unknown,,unknown,,,,,,,
400100,,unknown,,unknown,,unknown,,,,,,,
400102,,unknown,,unknown,,unknown,,,,,,,
400103,,unknown,,unknown,,unknown,,,,,,,
400106,,unknown,,unknown,,unknown,,,,,,,
400107,,unknown,,unknown,,unknown,,,,,,,
400108,,unknown,,unknown,,unknown,,,,,,,
400111,,unknown,,unknown,,unknown,,,,,,,
400112,,unknown,,unknown,,unknown,,,,,,,
400115,,unknown,,unknown,,unknown,,,,,,,
400120,,unknown,,unknown,,unknown,,,,,,,
400121,,unknown,,unknown,,unknown,,,,,,,
400122,,unknown,,unknown,,unknown,,,,,,,
400124,,unknown,,unknown,,unknown,,,,,,,
400126,,unknown,,unknown,,unknown,,,,,,,
400130,,unknown,,unknown,,unknown,,,,,,,
400131,,unknown,,unknown,,unknown,,,,,,,
400134,,unknown,,unknown,,unknown,,,,,,,
400135,,unknown,,unknown,,unknown,,,,,,,
400141,,unknown,,unknown,,unknown,,,,,,,
400144,,unknown,,unknown,,unknown,,,,,,,
400145,,unknown,,unknown,,unknown,,,,,,,
400147,,unknown,,unknown,,unknown,,,,,,,
400149,,unknown,,unknown,,unknown,,,,,,,
400150,,unknown,,unknown,,unknown,,,,,,,
400151,,unknown,,unknown,,unknown,,,,,,,
400153,,unknown,,unknown,,unknown,,,,,,,
400154,,unknown,,unknown,,unknown,,,,,,,
400157,,unknown,,unknown,,unknown,,,,,,,
400159,,unknown,,unknown,,unknown,,,,,,,
400163,,unknown,,unknown,,unknown,,,,,,,
400165,,unknown,,unknown,,unknown,,,,,,,
400181,,unknown,,unknown,,unknown,,,,,,,
400182,,unknown,,unknown,,unknown,,,,,,,
400184,,unknown,,unknown,,unknown,,,,,,,
400185,,unknown,,unknown,,unknown,,,,,,,
400187,,unknown,,unknown,,unknown,,,,,,,
100005,2022Q4,exact,2022Q2,backcast_award_minus_2q,2022Q1,from_applied_minus_1q,2023Q2,2023Q3,2023Q3,2.0,1.0,0.0,3.0
400191,,unknown,,unknown,,unknown,,,,,,,
400197,,unknown,,unknown,,unknown,,,,,,,
400201,,unknown,,unknown,,unknown,,,,,,,
400202,,unknown,,unknown,,unknown,,,,,,,
400204,,unknown,,unknown,,unknown,,,,,,,
400205,,unknown,,unknown,,unknown,,,,,,,
400208,,unknown,,unknown,,unknown,,,,,,,
400209,,unknown,,unknown,,unknown,,,,,,,
400210,,unknown,,unknown,,unknown,,,,,,,
400211,,unknown,,unknown,,unknown,,,,,,,
400212,,unknown,,unknown,,unknown,,,,,,,
400213,,unknown,,unknown,,unknown,,,,,,,
400217,,unknown,,unknown,,unknown,,,,,,,
400218,,unknown,,unknown,,unknown,,,,,,,
400219,,unknown,,unknown,,unknown,,,,,,,
400221,,unknown,,unknown,,unknown,,,,,,,
400223,,unknown,,unknown,,unknown,,,,,,,
400225,,unknown,,unknown,,unknown,,,,,,,
400227,,unknown,,unknown,,unknown,,,,,,,
400229,,unknown,,unknown,,unknown,,,,,,,
400230,,unknown,,unknown,,unknown,,,,,,,
400231,,unknown,,unknown,,unknown,,,,,,,
400232,,unknown,,unknown,,unknown,,,,,,,
400235,,unknown,,unknown,,unknown,,,,,,,
400238,,unknown,,unknown,,unknown,,,,,,,
400239,,unknown,,unknown,,unknown,,,,,,,
400241,,unknown,,unknown,,unknown,,,,,,,
400243,,unknown,,unknown,,unknown,,,,,,,
400244,,unknown,,unknown,,unknown,,,,,,,
400246,,unknown,,unknown,,unknown,,,,,,,
400248,,unknown,,unknown,,unknown,,,,,,,
400254,,unknown,,unknown,,unknown,,,,,,,
400255,,unknown,,unknown,,unknown,,,,,,,
400258,,unknown,,unknown,,unknown,,,,,,,
400259,,unknown,,unknown,,unknown,,,,,,,
400261,,unknown,,unknown,,unknown,,,,,,,
400263,,unknown,,unknown,,unknown,,,,,,,
400264,,unknown,,unknown,,unknown,,,,,,,
400266,,unknown,,unknown,,unknown,,,,,,,
400267,,unknown,,unknown,,unknown,,,,,,,
400268,,unknown,,unknown,,unknown,,,,,,,
400273,,unknown,,unknown,,unknown,,,,,,,
400274,,unknown,,unknown,,unknown,,,,,,,
400275,,unknown,,unknown,,unknown,,,,,,,
400276,,unknown,,unknown,,unknown,,,,,,,
400278,,unknown,,unknown,,unknown,,,,,,,
400279,,unknown,,unknown,,unknown,,,,,,,
400280,,unknown,,unknown,,unknown,,,,,,,
400281,,unknown,,unknown,,unknown,,,,,,,
400282,,unknown,,unknown,,unknown,,,,,,,
400284,,unknown,,unknown,,unknown,,,,,,,
400288,,unknown,,unknown,,unknown,,,,,,,
400290,,unknown,,unknown,,unknown,,,,,,,
400295,,unknown,,unknown,,unknown,,,,,,,
400303,,unknown,,unknown,,unknown,,,,,,,
400310,,unknown,,unknown,,unknown,,,,,,,
400311,,unknown,,unknown,,unknown,,,,,,,
400315,,unknown,,unknown,,unknown,,,,,,,
400316,,unknown,,unknown,,unknown,,,,,,,
400317,,unknown,,unknown,,unknown,,,,,,,
400318,,unknown,,unknown,,unknown,,,,,,,
400320,,unknown,,unknown,,unknown,,,,,,,
400321,,unknown,,unknown,,unknown,,,,,,,
400322,,unknown,,unknown,,unknown,,,,,,,
400323,,unknown,,unknown,,unknown,,,,,,,
400326,,unknown,,unknown,,unknown,,,,,,,
400327,,unknown,,unknown,,unknown,,,,,,,
400329,,unknown,,unknown,,unknown,,,,,,,
400330,,unknown,,unknown,,unknown,,,,,,,
400332,,unknown,,unknown,,unknown,,,,,,,
400339,,unknown,,unknown,,unknown,,,,,,,
400340,,unknown,,unknown,,unknown,,,,,,,
400341,,unknown,,unknown,,unknown,,,,,,,
400343,,unknown,,unknown,,unknown,,,,,,,
400345,,unknown,,unknown,,unknown,,,,,,,
400347,,unknown,,unknown,,unknown,,,,,,,
400348,,unknown,,unknown,,unknown,,,,,,,
400349,,unknown,,unknown,,unknown,,,,,,,
400351,,unknown,,unknown,,unknown,,,,,,,
400352,,unknown,,unknown,,unknown,,,,,,,
400353,,unknown,,unknown,,unknown,,,,,,,
400354,,unknown,,unknown,,unknown,,,,,,,
400355,,unknown,,unknown,,unknown,,,,,,,
400356,,unknown,,unknown,,unknown,,,,,,,
400357,,unknown,,unknown,,unknown,,,,,,,
400359,,unknown,,unknown,,unknown,,,,,,,
400361,,unknown,,unknown,,unknown,,,,,,,
400363,,unknown,,unknown,,unknown,,,,,,,
400364,,unknown,,unknown,,unknown,,,,,,,
400366,,unknown,,unknown,,unknown,,,,,,,
400367,,unknown,,unknown,,unknown,,,,,,,
400368,,unknown,,unknown,,unknown,,,,,,,
400370,,unknown,,unknown,,unknown,,,,,,,
400373,,unknown,,unknown,,unknown,,,,,,,
400374,,unknown,,unknown,,unknown,,,,,,,
400376,,unknown,,unknown,,unknown,,,,,,,
400377,,unknown,,unknown,,unknown,,,,,,,
400381,,unknown,,unknown,,unknown,,,,,,,
400382,,unknown,,unknown,,unknown,,,,,,,
400384,,unknown,,unknown,,unknown,,,,,,,
400385,,unknown,,unknown,,unknown,,,,,,,
400386,,unknown,,unknown,,unknown,,,,,,,
400387,,unknown,,unknown,,unknown,,,,,,,
400388,,unknown,,unknown,,unknown,,,,,,,
400389,,unknown,,unknown,,unknown,,,,,,,
400390,,unknown,,unknown,,unknown,,,,,,,
400391,,unknown,,unknown,,unknown,,,,,,,
400394,,unknown,,unknown,,unknown,,,,,,,
400395,,unknown,,unknown,,unknown,,,,,,,
400397,,unknown,,unknown,,unknown,,,,,,,
400399,,unknown,,unknown,,unknown,,,,,,,
400401,,unknown,,unknown,,unknown,,,,,,,
400402,,unknown,,unknown,,unknown,,,,,,,
400403,,unknown,,unknown,,unknown,,,,,,,
400404,,unknown,,unknown,,unknown,,,,,,,
400405,,unknown,,unknown,,unknown,,,,,,,
400406,,unknown,,unknown,,unknown,,,,,,,
400407,,unknown,,unknown,,unknown,,,,,,,
400409,,unknown,,unknown,,unknown,,,,,,,
400413,,unknown,,unknown,,unknown,,,,,,,
400414,,unknown,,unknown,,unknown,,,,,,,
400415,,unknown,,unknown,,unknown,,,,,,,
400417,,unknown,,unknown,,unknown,,,,,,,
400419,,unknown,,unknown,,unknown,,,,,,,
400420,,unknown,,unknown,,unknown,,,,,,,
400423,,unknown,,unknown,,unknown,,,,,,,
400424,,unknown,,unknown,,unknown,,,,,,,
400425,,unknown,,unknown,,unknown,,,,,,,
400427,,unknown,,unknown,,unknown,,,,,,,
400429,,unknown,,unknown,,unknown,,,,,,,
400432,,unknown,,unknown,,unknown,,,,,,,
400438,,unknown,,unknown,,unknown,,,,,,,
400439,,unknown,,unknown,,unknown,,,,,,,
400440,,unknown,,unknown,,unknown,,,,,,,
400441,,unknown,,unknown,,unknown,,,,,,,
400442,,unknown,,unknown,,unknown,,,,,,,
400444,,unknown,,unknown,,unknown,,,,,,,
400445,,unknown,,unknown,,unknown,,,,,,,
400447,,unknown,,unknown,,unknown,,,,,,,
400448,,unknown,,unknown,,unknown,,,,,,,
1903270,2024Q2,exact,2023Q4,backcast_award_minus_2q,2023Q3,from_applied_minus_1q,nanQnan,nanQnan,nanQnan,,,,
400455,,unknown,,unknown,,unknown,,,,,,,
400457,,unknown,,unknown,,unknown,,,,,,,
400458,,unknown,,unknown,,unknown,,,,,,,
400459,,unknown,,unknown,,unknown,,,,,,,
400460,,unknown,,unknown,,unknown,,,,,,,
400461,,unknown,,unknown,,unknown,,,,,,,
400463,,unknown,,unknown,,unknown,,,,,,,
400480,,unknown,,unknown,,unknown,,,,,,,
400520,,unknown,,unknown,,unknown,,,,,,,
400600,,unknown,,unknown,,unknown,,,,,,,
400607,,unknown,,unknown,,unknown,,,,,,,
400608,,unknown,,unknown,,unknown,,,,,,,
400610,,unknown,,unknown,,unknown,,,,,,,
400612,,unknown,,unknown,,unknown,,,,,,,
400613,,unknown,,unknown,,unknown,,,,,,,
400614,,unknown,,unknown,,unknown,,,,,,,
400615,,unknown,,unknown,,unknown,,,,,,,
400616,,unknown,,unknown,,unknown,,,,,,,
400618,,unknown,,unknown,,unknown,,,,,,,
400619,,unknown,,unknown,,unknown,,,,,,,
400621,,unknown,,unknown,,unknown,,,,,,,
400625,,unknown,,unknown,,unknown,,,,,,,
400626,,unknown,,unknown,,unknown,,,,,,,
400630,,unknown,,unknown,,unknown,,,,,,,
400632,,unknown,,unknown,,unknown,,,,,,,
400633,,unknown,,unknown,,unknown,,,,,,,
400636,,unknown,,unknown,,unknown,,,,,,,
400637,,unknown,,unknown,,unknown,,,,,,,
400638,,unknown,,unknown,,unknown,,,,,,,
400640,,unknown,,unknown,,unknown,,,,,,,
400641,,unknown,,unknown,,unknown,,,,,,,
400649,,unknown,,unknown,,unknown,,,,,,,
400653,,unknown,,unknown,,unknown,,,,,,,
400655,,unknown,,unknown,,unknown,,,,,,,
400680,,unknown,,unknown,,unknown,,,,,,,
400720,,unknown,,unknown,,unknown,,,,,,,
400745,,unknown,,unknown,,unknown,,,,,,,
400746,,unknown,,unknown,,unknown,,,,,,,
400747,,unknown,,unknown,,unknown,,,,,,,
400748,,unknown,,unknown,,unknown,,,,,,,
400750,,unknown,,unknown,,unknown,,,,,,,
400751,,unknown,,unknown,,unknown,,,,,,,
400752,,unknown,,unknown,,unknown,,,,,,,
400754,,unknown,,unknown,,unknown,,,,,,,
400755,,unknown,,unknown,,unknown,,,,,,,
400756,,unknown,,unknown,,unknown,,,,,,,
400757,,unknown,,unknown,,unknown,,,,,,,
400758,,unknown,,unknown,,unknown,,,,,,,
400760,,unknown,,unknown,,unknown,,,,,,,
400762,,unknown,,unknown,,unknown,,,,,,,
400763,,unknown,,unknown,,unknown,,,,,,,
400764,,unknown,,unknown,,unknown,,,,,,,
400765,,unknown,,unknown,,unknown,,,,,,,
400766,,unknown,,unknown,,unknown,,,,,,,
400768,,unknown,,unknown,,unknown,,,,,,,
400769,,unknown,,unknown,,unknown,,,,,,,
400770,,unknown,,unknown,,unknown,,,,,,,
400771,,unknown,,unknown,,unknown,,,,,,,
400772,,unknown,,unknown,,unknown,,,,,,,
400773,,unknown,,unknown,,unknown,,,,,,,
400774,,unknown,,unknown,,unknown,,,,,,,
400775,,unknown,,unknown,,unknown,,,,,,,
400776,,unknown,,unknown,,unknown,,,,,,,
400777,,unknown,,unknown,,unknown,,,,,,,
400778,,unknown,,unknown,,unknown,,,,,,,
400779,,unknown,,unknown,,unknown,,,,,,,
400780,,unknown,,unknown,,unknown,,,,,,,
400781,,unknown,,unknown,,unknown,,,,,,,
